glass,ls,weight,99,1,0.535211,0.767606,87,1,0.591549,0.795775,1.24685
glass,ls,eul,100,1,0.530516,0.407274,88,0.992,0.586854,0.459704,1.34743
glass,ls,squared,102,1,0.521127,0.271573,86,0.976378,0.596244,0.33891,1.60914
iris,ls,weight,17,1,0.886667,0.943333,16,1,0.893333,0.946667,0.157739
iris,ls,squared,17,1,0.886667,0.786178,16,1,0.893333,0.798044,0.158692
iris,ls,eul,19,1,0.873333,0.811789,16,1,0.893333,0.839945,0.197879
blogger,ls,weight,26,1,0.5,0.75,24,1,0.538462,0.769231,0.048086
blogger,ls,eul,26,1,0.5,0.377541,24,1,0.538462,0.415165,0.050011
blogger,ls,squared,26,1,0.5,0.25,20,0.9375,0.615385,0.33284,0.054552
bcw,ls,weight,396,1,0.428571,0.714286,347,1,0.499278,0.749639,112.063
bcw,ls,eul,399,1,0.424242,0.307535,322,0.967655,0.535354,0.395005,157.906
bcw,ls,squared,400,1,0.422799,0.178759,317,0.962766,0.542569,0.272867,187.908
australian,ls,weight,363,1,0.473913,0.736957,308,1,0.553623,0.776812,136.43
australian,ls,eul,364,1,0.472464,0.35148,288,0.975124,0.582609,0.445177,146.333
australian,ls,squared,366,1,0.469565,0.220491,269,0.952494,0.610145,0.337746,207.086
pima,ls,weight,399,1,0.480469,0.740234,335,1,0.563802,0.781901,193.456
pima,ls,eul,399,1,0.480469,0.358982,313,0.978022,0.592448,0.456861,258.88
pima,ls,squared,398,1,0.481771,0.232103,316,0.977876,0.588542,0.331224,270.893
glass,ls,weight,97,1,0.544601,0.7723,88,1,0.586854,0.793427,1.29655
glass,ls,eul,102,1,0.521127,0.398028,88,0.984,0.586854,0.454825,1.38625
glass,ls,squared,103,1,0.516432,0.266702,82,0.961832,0.615023,0.349931,1.79457
iris,ls,weight,20,1,0.866667,0.933333,16,1,0.893333,0.946667,0.181129
iris,ls,squared,20,1,0.866667,0.751111,16,1,0.893333,0.798044,0.186027
iris,ls,eul,20,1,0.866667,0.802528,16,1,0.893333,0.839945,0.180069
blogger,ls,weight,25,1,0.509804,0.754902,22,1,0.568627,0.784314,0.048453
blogger,ls,eul,25,1,0.509804,0.386994,22,1,0.568627,0.445703,0.048405
blogger,ls,squared,25,1,0.509804,0.2599,21,1,0.588235,0.346021,0.053353
bcw,ls,weight,391,1,0.43741,0.718705,344,1,0.505036,0.752518,101.729
bcw,ls,eul,400,1,0.423631,0.306992,316,0.960317,0.544669,0.39992,188.796
bcw,ls,squared,399,1,0.425072,0.180686,299,0.939241,0.569164,0.285778,208.567
australian,ls,weight,365,1,0.471014,0.735507,308,1,0.553623,0.776812,147.109
australian,ls,eul,364,1,0.472464,0.35148,301,0.989717,0.563768,0.434809,153.305
australian,ls,squared,364,1,0.472464,0.223222,268,0.959716,0.611594,0.344518,207.929
pima,ls,weight,402,1,0.476562,0.738281,338,1,0.559896,0.779948,187.712
pima,ls,eul,401,1,0.477865,0.356535,302,0.972103,0.606771,0.467739,272.478
pima,ls,squared,397,1,0.483073,0.233359,316,0.986726,0.588542,0.337246,252.29
glass,ls,weight,102,1,0.521127,0.760563,91,1,0.57277,0.786385,1.34581
glass,ls,eul,99,1,0.535211,0.411929,88,0.992,0.586854,0.459704,1.21274
glass,ls,squared,99,1,0.535211,0.286451,85,0.992188,0.600939,0.355507,1.74147
iris,ls,weight,21,1,0.86,0.93,16,1,0.893333,0.946667,0.186258
iris,ls,squared,21,1,0.86,0.7396,16,1,0.893333,0.798044,0.187255
iris,ls,eul,21,1,0.86,0.793329,16,1,0.893333,0.839945,0.186196
blogger,ls,weight,25,1,0.528302,0.764151,23,1,0.566038,0.783019,0.047625
blogger,ls,eul,25,1,0.528302,0.405085,23,1,0.566038,0.443045,0.048519
blogger,ls,squared,25,1,0.528302,0.279103,22,0.967742,0.584906,0.320399,0.049475
bcw,ls,weight,404,1,0.417027,0.708514,347,1,0.499278,0.749639,117.831
bcw,ls,eul,398,1,0.425685,0.30882,317,0.960106,0.542569,0.397829,156.917
bcw,ls,squared,403,1,0.41847,0.175117,300,0.951654,0.5671,0.291257,203.406
australian,ls,weight,361,1,0.476812,0.738406,306,1,0.556522,0.778261,148.96
australian,ls,eul,362,1,0.475362,0.35419,299,0.98977,0.566667,0.437761,164.47
australian,ls,squared,364,1,0.472464,0.223222,276,0.963768,0.6,0.334386,216.97
pima,ls,weight,398,1,0.481771,0.740885,335,1,0.563802,0.781901,218.28
pima,ls,eul,402,1,0.476562,0.355314,325,0.990971,0.576823,0.448777,289.164
pima,ls,squared,401,1,0.477865,0.228355,328,0.993182,0.572917,0.323773,305.496
glass,ls,weight,98,1,0.539906,0.769953,87,1,0.591549,0.795775,1.2267
glass,ls,eul,99,1,0.535211,0.411929,86,0.984252,0.596244,0.464606,1.25181
glass,ls,squared,100,1,0.530516,0.281448,88,1,0.586854,0.344398,1.86545
iris,ls,weight,20,1,0.866667,0.933333,16,1,0.893333,0.946667,0.161818
iris,ls,squared,20,1,0.866667,0.751111,16,1,0.893333,0.798044,0.161501
iris,ls,eul,21,1,0.86,0.793329,16,1,0.893333,0.839945,0.219802
blogger,ls,weight,24,1,0.538462,0.769231,22,1,0.576923,0.788462,0.055285
blogger,ls,eul,24,1,0.538462,0.415165,22,1,0.576923,0.454263,0.050621
blogger,ls,squared,24,1,0.538462,0.289941,22,1,0.576923,0.33284,0.050587
bcw,ls,weight,393,1,0.433718,0.716859,347,1,0.5,0.75,116.334
bcw,ls,eul,396,1,0.429395,0.31213,313,0.955381,0.548991,0.401335,145.333
bcw,ls,squared,398,1,0.425685,0.181208,314,0.957784,0.546898,0.274376,179.401
australian,ls,weight,361,1,0.476812,0.738406,307,1,0.555072,0.777536,139.596
australian,ls,eul,364,1,0.472464,0.35148,301,0.989717,0.563768,0.434809,163.689
australian,ls,squared,364,1,0.472464,0.223222,261,0.948718,0.621739,0.347929,239.748
pima,ls,weight,398,1,0.481771,0.740885,336,1,0.5625,0.78125,197.698
pima,ls,eul,396,1,0.484375,0.362665,316,0.986726,0.588542,0.458215,252.499
pima,ls,squared,397,1,0.483073,0.233359,322,0.988789,0.580729,0.329727,257.721
glass,ls,weight,98,1,0.539906,0.769953,87,1,0.591549,0.795775,1.0584
glass,ls,eul,97,1,0.544601,0.421305,88,0.984,0.586854,0.454825,1.23551
glass,ls,squared,100,1,0.530516,0.281448,86,0.976378,0.596244,0.33891,1.524
iris,ls,weight,21,1,0.85906,0.92953,16,1,0.892617,0.946309,0.1757
iris,ls,squared,21,1,0.85906,0.737985,14,1,0.90604,0.820909,0.220887
iris,ls,eul,21,1,0.85906,0.792037,14,1,0.90604,0.858128,0.223901
blogger,ls,weight,26,1,0.5,0.75,24,1,0.538462,0.769231,0.047963
blogger,ls,eul,26,1,0.5,0.377541,24,1,0.538462,0.415165,0.046892
blogger,ls,squared,26,1,0.5,0.25,24,1,0.538462,0.289941,0.052156
bcw,ls,weight,399,1,0.424242,0.712121,347,1,0.499278,0.749639,142.431
bcw,ls,eul,396,1,0.428571,0.311395,315,0.960317,0.545455,0.400661,151.376
bcw,ls,squared,402,1,0.419913,0.176327,308,0.953247,0.555556,0.280457,221.165
australian,ls,weight,366,1,0.469565,0.734783,308,1,0.553623,0.776812,131.92
australian,ls,eul,361,1,0.476812,0.355547,300,0.989744,0.565217,0.436284,160.573
australian,ls,squared,364,1,0.472464,0.223222,271,0.957041,0.607246,0.337746,214.5
pima,ls,weight,402,1,0.476562,0.738281,335,1,0.563802,0.781901,223.142
pima,ls,eul,401,1,0.477865,0.356535,326,0.99095,0.575521,0.447436,246.31
pima,ls,squared,398,1,0.481771,0.232103,322,0.986547,0.580729,0.328234,290.602
glass,ls,weight,101,1,0.525822,0.762911,90,1,0.577465,0.788732,1.43359
glass,ls,eul,99,1,0.535211,0.411929,88,0.992,0.586854,0.459704,1.22329
glass,ls,squared,102,1,0.521127,0.271573,86,0.984252,0.596244,0.344398,1.678
iris,ls,weight,18,1,0.879195,0.939597,17,1,0.885906,0.942953,0.163642
iris,ls,squared,18,1,0.879195,0.772983,14,1,0.90604,0.820909,0.192586
iris,ls,eul,19,1,0.873333,0.811789,11,0.992806,0.926667,0.878373,0.186855
blogger,ls,weight,25,1,0.509804,0.754902,22,1,0.568627,0.784314,0.050883
blogger,ls,eul,25,1,0.509804,0.386994,22,1,0.568627,0.445703,0.050505
blogger,ls,squared,25,1,0.509804,0.2599,16,0.942857,0.686275,0.418685,0.054332
bcw,ls,weight,407,1,0.412698,0.706349,347,1,0.499278,0.749639,149.018
bcw,ls,eul,400,1,0.422799,0.306253,322,0.967655,0.535354,0.395005,173.401
bcw,ls,squared,398,1,0.425685,0.181208,301,0.943878,0.565657,0.28506,203.274
australian,ls,weight,364,1,0.472464,0.736232,306,1,0.556522,0.778261,142.202
australian,ls,eul,363,1,0.473913,0.352834,301,0.989717,0.563768,0.434809,166.815
australian,ls,squared,364,1,0.472464,0.223222,261,0.948718,0.621739,0.347929,213.316
pima,ls,weight,395,1,0.485677,0.742839,334,1,0.565104,0.782552,186.936
pima,ls,eul,397,1,0.483073,0.361436,327,0.99093,0.574219,0.446096,214.897
pima,ls,squared,396,1,0.484375,0.234619,316,0.986726,0.588542,0.337246,257.949
glass,ls,weight,99,1,0.535211,0.767606,87,1,0.591549,0.795775,1.28504
glass,ls,eul,97,1,0.544601,0.421305,84,0.976744,0.605634,0.469531,1.28281
glass,ls,squared,97,1,0.544601,0.29659,86,0.992126,0.596244,0.349931,1.56116
iris,ls,weight,20,1,0.866667,0.933333,15,1,0.9,0.95,0.17625
iris,ls,squared,20,1,0.866667,0.751111,13,0.992701,0.913333,0.822044,0.165822
iris,ls,eul,21,1,0.86,0.793329,16,1,0.893333,0.839945,0.164604
blogger,ls,weight,25,1,0.545455,0.772727,22,1,0.6,0.8,0.055723
blogger,ls,eul,25,1,0.545455,0.422162,19,0.972222,0.654545,0.517725,0.057732
blogger,ls,squared,25,1,0.545455,0.297521,18,0.945946,0.672727,0.404959,0.057176
bcw,ls,weight,395,1,0.430014,0.715007,347,1,0.499278,0.749639,124.061
bcw,ls,eul,400,1,0.422799,0.306253,322,0.967655,0.535354,0.395005,157.119
bcw,ls,squared,399,1,0.424242,0.179982,295,0.949749,0.574315,0.297521,220.259
australian,ls,weight,365,1,0.471014,0.735507,308,1,0.553623,0.776812,148.014
